"Item Name","Stamp/Batch","Op. Pc","Op.Tags","Op. Gr.Wt.","Op. Dia.Wt.","Rc. Pc","Rec.Tags","Rc. Gr.Wt.","Rc. Dia.Wt.","Is. Pc","Iss.Tags","Is. Gr.Wt.","Is. Dia.Wt.","Cl. Pc","Cl.Tags","Cl. Gr.Wt.","Cl. Dia.Wt."
"GENTS RING GLD","NA","2","","2.790","","","","","","2","","2.790","","","","",""
"GENTS RING GLD","18K","30","","201.627","","53","","123.178","","21","","69.984","","62","","254.821",""
"GENTS RING GLD","22K","25","","123.619","","","","","","3","","14.605","","22","","109.014",""
"3","3","57","0","328.036","0.000","53","0","123.178","0.000","26","0","87.379","0.000","84","0","363.835","0.000"
"","","","","","","","","","","","","","","","","",""
"GOLD JEWELLERY","NA","316","","508.505","","","","0.520","","10","","7.163","","306","","501.862",""
"1","1","316","0","508.505","0.000","0","0","0.520","0.000","10","0","7.163","0.000","306","0","501.862","0.000"
"","","","","","","","","","","","","","","","","",""
"GOLD MATEL FINE","","","","524.040","","","","234.690","","1","","385.624","","-1","","373.106",""
"1","1","0","0","524.040","0.000","0","0","234.690","0.000","1","0","385.624","0.000","-1","0","373.106","0.000"
"","","","","","","","","","","","","","","","","",""
"GOLD ORNAMENTS","","","","2767.872","","","","520.190","","481","","1726.180","","-481","","1561.882",""
"GOLD ORNAMENTS","18K","","","","","25","","75.930","","25","","75.930","","","","",""
"2","2","0","0","2767.872","0.000","25","0","596.120","0.000","506","0","1802.110","0.000","-481","0","1561.882","0.000"
"","","","","","","","","","","","","","","","","",""
"H.PETI / BELT SL C","","","","","","","","","","1","","312.000","","-1","","-312.000",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","312.000","0.000","-1","0","-312.000","0.000"
"","","","","","","","","","","","","","","","","",""
"H.PETI M","","","","","","","","","","8","","1784.700","","-8","","-1784.700",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","8","0","1784.700","0.000","-8","0","-1784.700","0.000"
"","","","","","","","","","","","","","","","","",""
"HAR GOLD","NA","1","","16.980","","","","","","1","","16.980","","","","",""
"HAR GOLD","18K","80","","1108.112","","41","","229.030","","24","","183.470","","97","","1153.672",""
"HAR GOLD","22K","34","","395.390","","6","","34.770","","3","","31.460","","37","","398.700",""
"3","3","115","0","1520.482","0.000","47","0","263.800","0.000","28","0","231.910","0.000","134","0","1552.372","0.000"
"","","","","","","","","","","","","","","","","",""
"HATHFOOL M","","","","","","","","","","4","","233.500","","-4","","-233.500",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","4","0","233.500","0.000","-4","0","-233.500","0.000"
"","","","","","","","","","","","","","","","","",""
"JHALA GOLD","18K","100","","334.110","","12","","41.120","","27","","88.210","","85","","287.020",""
"JHALA GOLD","22K","2","","4.080","","","","","","","","","","2","","4.080",""
"2","2","102","0","338.190","0.000","12","0","41.120","0.000","27","0","88.210","0.000","87","0","291.100","0.000"
"","","","","","","","","","","","","","","","","",""
"JHUMAR GOLD","18K","2","","19.150","","","","","","","","","","2","","19.150",""
"1","1","2","0","19.150","0.000","0","0","0.000","0.000","0","0","0.000","0.000","2","0","19.150","0.000"
"","","","","","","","","","","","","","","","","",""
"JHUMKI GOLD","18K","56","","117.170","","40","","230.090","","10","","40.480","","86","","306.780",""
"JHUMKI GOLD","22K","6","","24.200","","","","","","","","","","6","","24.200",""
"2","2","62","0","141.370","0.000","40","0","230.090","0.000","10","0","40.480","0.000","92","0","330.980","0.000"
"","","","","","","","","","","","","","","","","",""
"KAN CHAIN GOLD","18K","10","","18.010","","","","","","","","","","10","","18.010",""
"1","1","10","0","18.010","0.000","0","0","0.000","0.000","0","0","0.000","0.000","10","0","18.010","0.000"
"","","","","","","","","","","","","","","","","",""
"KIDS KARA""M""","","","","","","","","","","12","","166.000","","-12","","-166.000",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","12","0","166.000","0.000","-12","0","-166.000","0.000"
"","","","","","","","","","","","","","","","","",""
"KIDS PEND.. GOLD","NA","8","","4.140","","","","","","8","","4.140","","","","",""
"KIDS PEND.. GOLD","18K","22","","13.110","","","","","","6","","2.700","","16","","10.410",""
"2","2","30","0","17.250","0.000","0","0","0.000","0.000","14","0","6.840","0.000","16","0","10.410","0.000"
"","","","","","","","","","","","","","","","","",""
"KIDS PYL M","","","","","","","","","","4","","239.600","","-4","","-239.600",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","4","0","239.600","0.000","-4","0","-239.600","0.000"
"","","","","","","","","","","","","","","","","",""
"KIDS RING GLD","18K","12","","9.130","","","","","","1","","0.470","","11","","8.660",""
"1","1","12","0","9.130","0.000","0","0","0.000","0.000","1","0","0.470","0.000","11","0","8.660","0.000"
"","","","","","","","","","","","","","","","","",""
"LADIES RING GLD","NA","4","","6.080","","","","","","4","","6.080","","","","",""
"LADIES RING GLD","18K","55","","254.126","","164","","370.230","","41","","95.970","","178","","528.386",""
"LADIES RING GLD","22K","33","","110.330","","10","","35.420","","8","","30.330","","35","","115.420",""
"LADIES RING GLD","20K","","","","","13","","22.380","","","","","","13","","22.380",""
"4","4","92","0","370.536","0.000","187","0","428.030","0.000","53","0","132.380","0.000","226","0","666.186","0.000"
"","","","","","","","","","","","","","","","","",""
"MD PYL M","","","","","","","","","","1","","61.400","","-1","","-61.400",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","61.400","0.000","-1","0","-61.400","0.000"
"","","","","","","","","","","","","","","","","",""
"MF PAYAL M","","","","","","","","","","18","","1196.000","","-18","","-1196.000",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","18","0","1196.000","0.000","-18","0","-1196.000","0.000"
"","","","","","","","","","","","","","","","","",""
"MS CHAIN GOLD","NA","1","","4.160","","","","","","1","","4.160","","","","",""
"MS CHAIN GOLD","18K","10","","91.520","","","","","","1","","8.090","","9","","83.430",""
"MS CHAIN GOLD","22K","5","","41.270","","2","","25.210","","","","","","7","","66.480",""
"3","3","16","0","136.950","0.000","2","0","25.210","0.000","2","0","12.250","0.000","16","0","149.910","0.000"
"","","","","","","","","","","","","","","","","",""
"NATH CHAIN GOLD","18K","6","","14.450","","","","","","1","","2.620","","5","","11.830",""
"1","1","6","0","14.450","0.000","0","0","0.000","0.000","1","0","2.620","0.000","5","0","11.830","0.000"
"","","","","","","","","","","","","","","","","",""
"NATH GOLD","NA","6","","15.670","","","","","","6","","15.670","","","","",""
"NATH GOLD","18K","14","","34.710","","","","","","3","","8.270","","11","","26.440",""
"2","2","20","0","50.380","0.000","0","0","0.000","0.000","9","0","23.940","0.000","11","0","26.440","0.000"
"","","","","","","","","","","","","","","","","",""
"NOSEPIN F","NA","","","","","","","","","18","","3.937","","-18","","-3.937",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","18","0","3.937","0.000","-18","0","-3.937","0.000"
"","","","","","","","","","","","","","","","","",""
"NOSEPIN-EM","NA","","","","","","","","","21","","1.954","","-21","","-1.954",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","21","0","1.954","0.000","-21","0","-1.954","0.000"
"","","","","","","","","","","","","","","","","",""
"NOSEPIN-S","","","","","","","","","","3","","","","-3","","",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","3","0","0.000","0.000","-3","0","0.000","0.000"
"","","","","","","","","","","","","","","","","",""
"NOSERING GOLD","NA","","","","","1","","0.370","","27","","10.580","","-26","","-10.210",""
"1","1","0","0","0.000","0.000","1","0","0.370","0.000","27","0","10.580","0.000","-26","0","-10.210","0.000"
"","","","","","","","","","","","","","","","","",""
"OLD GOLD","","","","","","","","96.741","","","","","","","","96.741",""
"OLD GOLD","18K","","","","","","","51.120","","","","","","","","51.120",""
"2","2","0","0","0.000","0.000","0","0","147.861","0.000","0","0","0.000","0.000","0","0","147.861","0.000"
"","","","","","","","","","","","","","","","","",""
"OLD SILVER","","","","","","","","786.000","","","","","","","","786.000",""
"1","1","0","0","0.000","0.000","0","0","786.000","0.000","0","0","0.000","0.000","0","0","786.000","0.000"
"","","","","","","","","","","","","","","","","",""
"PAPER GOLD DANA","NA","","","","","","","","","38","","0.867","","-38","","-0.867",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","38","0","0.867","0.000","-38","0","-0.867","0.000"
