Tag.No.,Stamp,Date,Pc,Gr.Wt.,Net.Wt.,Dia.Wt.,Stn.Wt.,Goldwt,S/Lbr.Wt.,S/Lbr.Rs.,Supplier,Other info,H/M,Cert.No.,Colour,Clarity,Design,Size,Costing,M.R.P.,Item Name,Tunch,Wstg,Wstg.%,Category,Dia pc,Stn Pc,Stnpc,S/Lbr.%,Lamt,Rate,Other,Dia.Val.,Stn.Val.,S. Met.Value,S. Lamt,S. Dia.Val.,S. Stn.Val.,S/Others,S/M.Rate,Cur Mrp,Metal Amt
IBX851,18K,27-07-2021,1,2.37,2.324,0.23,,2.324,650,,SMT,"HM-BK,SPHC",Y,,,,,,,11775.5,D L RING,75,2,,,24,,,,,,,,,,1541,10235,,,,,
NKO558,18K,27-07-2021,1,1.82,1.787,0.166,,1.787,950,,SMT,HM-BK,Y,,,,,,,9199,D L RING,75,2,,,24,,,,,,,,,,1729,7470,,,,,
